,Team,Pass Factor (O),Rush Factor (O)
0,San Francisco 49ers,0.9491881101732541,1.2058268425639862
1,Chicago Bears,0.9026767155881489,0.48966138290803557
2,Cincinnati Bengals,0.8772169242064797,0.8916693505537588
3,Buffalo Bills,1.1837404561567304,0.8827824083582215
4,Denver Broncos,0.830609517947038,0.9443998226074314
5,Cleveland Browns,0.8997546211518201,1.1104976854486328
6,Tampa Bay Buccaneers,1.137935677135319,0.9373982806564364
7,Arizona Cardinals,1.062435967263482,1.4121586659886614
8,Los Angeles Chargers,1.1725697065687082,0.8253128746470043
9,Kansas City Chiefs,1.341754800011513,0.9888345335851185
10,Indianapolis Colts,0.9395368496921228,0.9404297770403608
11,Dallas Cowboys,0.9512973310663859,0.9294485768211639
12,Miami Dolphins,0.9321314275063414,0.8500992245130867
13,Philadelphia Eagles,0.8498368993380804,1.043232809285006
14,Atlanta Falcons,0.9977992383318924,0.9642933075978746
15,Washington Football Team,0.7725068957693066,1.1669932777589034
16,New York Giants,0.6774249787534442,0.9420302917786592
17,Jacksonville Jaguars,0.9046428677017355,0.8213332163788026
18,New York Jets,0.6611489127430937,0.7110515026543001
19,Detroit Lions,1.0183726806275657,0.8425751011733378
20,Green Bay Packers,1.3793162367802057,0.8999651116297446
21,Carolina Panthers,0.8951703483218396,1.0455612676634916
22,New England Patriots,0.6713052781196475,1.324389898312778
23,Las Vegas Raiders,1.0489442398088902,1.171326858205107
24,Los Angeles Rams,1.004833137082198,1.184952862058189
25,Baltimore Ravens,0.8734682944867324,1.164852703993431
26,New Orleans Saints,1.0383871300524972,1.2267969500810925
27,Seattle Seahawks,1.4155209868463174,1.0371287440668706
28,Pittsburgh Steelers,1.149435067474232,0.9324800732050882
29,Houston Texans,1.2147412216766895,0.6758506649947846
30,Tennessee Titans,1.1207734954744715,1.1389080236410727
31,Minnesota Vikings,1.125523986143817,1.2977579098295586
